hashtag;frequency;lang;cop
#cop26;21002;en;26
#climateaction;1159;en;26
#climatechange;941;en;26
#cop26glasgow;892;en;26
#climatecrisis;814;en;26
#togetherforourplanet;758;en;26
#climate;567;en;26
#climateemergency;479;en;26
#glasgow;430;en;26
#climatejustice;404;en;26
#auspol;329;en;26
#netzero;259;en;26
#cop26bbc;171;en;26
#lossanddamage;162;en;26
#yesscots;150;en;26
#scottishindependence;133;en;26
#fridaysforfuture;119;en;26
#scotland;114;en;26
#nature;112;en;26
#uprootthesystem;111;en;26
#cdnpoli;110;en;26
#parisagreement;107;en;26
#globaldayofaction;106;en;26
#climateactionnow;104;en;26
#g20;102;en;26
#biodiversity;100;en;26
#euatcop26;100;en;26
#actonclimate;93;en;26
#deforestation;92;en;26
#justtransition;87;en;26
#fornature;82;en;26
#actnow;82;en;26
#climatefinance;79;en;26
#johnsonout;77;en;26
#wtpearth;74;en;26
#naturebasedsolutions;74;en;26
#feministclimatejustice;67;en;26
#fossilfuels;67;en;26
#energy;67;en;26
#climatejusticenow;67;en;26
#scottishindependence14;67;en;26
#saltiresunday;67;en;26
#humanrights;66;en;26
#payup4lossanddamage;66;en;26
#covid19;64;en;26
#climateactioninyourarea;62;en;26
#nationinwaiting;60;en;26
#presidencyofhope;59;en;26
#coal;58;en;26
#sustainability;58;en;26
#worldclimatemarch;58;en;26
#dontchooseextinction;57;en;26
#racetozero;57;en;26
#india;56;en;26
#glasgowcop26;55;en;26
#fossilfuel;55;en;26
#environment;53;en;26
#maldivesatcop26;52;en;26
#deliver4climate;52;en;26
#ocean;51;en;26
#endclimateimperialism;51;en;26
#cop26gda;51;en;26
#sdgs;50;en;26
#naturepositive;49;en;26
#healthyclimate;49;en;26
#greenrwanda;48;en;26
#buildbackbetter;47;en;26
#demvoice1;46;en;26
#keepitintheground;46;en;26
#listentotheocean;46;en;26
#greenwashing;45;en;26
#freeassangenow;45;en;26
#costofnetzero;45;en;26
#nowarnowarming;44;en;26
#article6;43;en;26
#adaptation;43;en;26
#climatestrike;43;en;26
#indigenous;42;en;26
#climateactionwbg;41;en;26
#foodsystems;41;en;26
#thismachinefightsclimatechange;40;en;26
#stopcambo;40;en;26
#airpollution;40;en;26
#wedonthavetime;39;en;26
#bluecarbon;39;en;26
#klimalaya;37;en;26
#breaking;36;en;26
#sdg13;36;en;26
#transportday;36;en;26
#gretathunberg;36;en;26
#china;35;en;26
#africa;35;en;26
#carbon;34;en;26
#cop26glasow;34;en;26
#forests;34;en;26
#climatemarch;34;en;26
#nuclear;33;en;26
#indigenouspeoples;33;en;26
#netzeroneedsnuclear;33;en;26
#cleanoceans;33;en;26
#greennewdeal;32;en;26
#realzero;32;en;26
#ipcc;32;en;26
#earthshotprize;32;en;26
#renewables;32;en;26
#energychampion;32;en;26
#extinctionrebellion;31;en;26
#indyref2;31;en;26
#atoms4climate;30;en;26
#cycling;30;en;26
#letsdonetzero;30;en;26
#africacop26;30;en;26
#rwanda;30;en;26
#investinrwanda;30;en;26
#youth4climate;29;en;26
#pacific;29;en;26
#ecocide;29;en;26
#assange;29;en;26
#g20romesummit;29;en;26
#globalwarming;28;en;26
#eugreendeal;28;en;26
#cleanenergy;28;en;26
#eyesoncop26;28;en;26
#promisetotheplanet;28;en;26
#natureday;28;en;26
#marr;27;en;26
#insiders;27;en;26
#glasgowlossanddamagefacility;27;en;26
#cop15;27;en;26
#copout26;27;en;26
#maldives;27;en;26
#genderday;27;en;26
#renewableenergy;27;en;26
#womenleadingonclimate;26;en;26
#boga;25;en;26
#beachcollective;25;en;26
#iran;25;en;26
#torycorruption;24;en;26
#copcollab26;24;en;26
#co2;23;en;26
#oott;23;en;26
#dearworldleaders;23;en;26
#youth;23;en;26
#borisjohnson;23;en;26
#peatlandsmatter;23;en;26
#arctic;23;en;26
#blackpinkclimateadvocates;23;en;26
#climatetrain;23;en;26
#methane;22;en;26
#solar;22;en;26
#backbritishfarming;22;en;26
#australia;22;en;26
#believeinscotland;22;en;26
#energytransition;22;en;26
#cop26cycling;22;en;26
#uk;22;en;26
#peoplessummit;22;en;26
#worldcitiesday;22;en;26
#live;21;en;26
#blahblahblah;21;en;26
#wtpblue;21;en;26
#r4today;21;en;26
#health;21;en;26
#peoplesplenary;21;en;26
#climatepromise;21;en;26
#dyk;21;en;26
#gender;21;en;26
#trueplanet;21;en;26
#canada;20;en;26
#eu;20;en;26
#oceanclimateaction;20;en;26
#kayburley;20;en;26
#resignsturgeon;20;en;26
#greenwash;20;en;26
#ghg;20;en;26
#energyday;20;en;26
#triplelock;20;en;26
#prosecuteraisinow;20;en;26
#torysleaze;19;en;26
#bcpoli;19;en;26
#ittakesroots;19;en;26
#vegan;19;en;26
#hydrogen;19;en;26
#oil;19;en;26
#buildbackfossilfree;19;en;26
#bloomberggreen;19;en;26
#sids;19;en;26
#peatlandpavilion;19;en;26
#mapa;19;en;26
#morecycling;19;en;26
#plantbased;19;en;26
#cop27;18;en;26
#brexit;18;en;26
#gfanz;18;en;26
#globalgoals;18;en;26
#wildlife;18;en;26
#glasgowdeclaration;18;en;26
#cop;18;en;26
#hs2;18;en;26
#peatlands;18;en;26
#sdg7;18;en;26
#cedawinlaw;18;en;26
#g20_standwithfarmers;18;en;26
#emergencyonplanetearth;17;en;26
#bangladesh;17;en;26
#act4ourkids;17;en;26
#water;17;en;26
#onestepgreener;17;en;26
#oceanaction;17;en;26
#missingvoicescop26;17;en;26
#unfccc;16;en;26
#tiredearth;16;en;26
#newsnight;16;en;26
#racetoresilience;16;en;26
#emissionsgap;16;en;26
#globalassembly;16;en;26
#transport;16;en;26
#climatehypocrisy;16;en;26
#generationrestoration;16;en;26
#cop26sciencepavilion;16;en;26
#ndcs;16;en;26
#cleanair;16;en;26
#climateeducation;16;en;26
#fbsi;16;en;26
#statepension;16;en;26
#endfossilfuels;15;en;26
#news;15;en;26
#cop26coalition;15;en;26
#commonwealthforclimate;15;en;26
#stopfailing;15;en;26
#c4news;15;en;26
#sco;15;en;26
#landback;15;en;26
#water4climate;15;en;26
#un;15;en;26
#copernicus;15;en;26
#greatpretender;15;en;26
#tuvalu;15;en;26
#women;15;en;26
#pakistan;15;en;26
#myanmar;15;en;26
#oceanday;15;en;26
#act4climate;14;en;26
#flop26;14;en;26
#brazil;14;en;26
#defundclimatechaos;14;en;26
#govegan;14;en;26
#biden;14;en;26
#torysewageparty;14;en;26
#educationcrisis;14;en;26
#warisnotgreen;14;en;26
#westpapua;14;en;26
#stopfundingfossils;14;en;26
#pollution;14;en;26
#actonthegap;14;en;26
#sewage;14;en;26
#israel;14;en;26
#ableg;14;en;26
#update;13;en;26
#us;13;en;26
#sustainable;13;en;26
#gas;13;en;26
#education;13;en;26
#climatereport;13;en;26
#climateadaptation;13;en;26
#sdg7bebold;13;en;26
#beyondoilandgasalliance;13;en;26
#yesscotsnotrident;13;en;26
#forest;13;en;26
#scientistrebellion;13;en;26
#tibetclimatecrisis;13;en;26
#sdg7pavilion;13;en;26
#france;13;en;26
#zimbabwe;13;en;26
#gpc;12;en;26
#carbonemissions;12;en;26
#commonwealth;12;en;26
#peoplevsfossilfuels;12;en;26
#fossiloftheday;12;en;26
#innovation;12;en;26
#1o5c;12;en;26
#localgov;12;en;26
#peopletothefront;12;en;26
#conservation;12;en;26
#emissions;12;en;26
#onpoli;12;en;26
#uranium;12;en;26
#uaeforclimate;12;en;26
#notimetowaste;12;en;26
#uofgcop26;12;en;26
#sewagescandal;12;en;26
#cen;12;en;26
#vegansforclimatejustice;12;en;26
#cities;11;en;26
#greenhydrogen;11;en;26
#norightsnodeal;11;en;26
#cambo;11;en;26
#solidarity;11;en;26
#worldwewant;11;en;26
#planetaryhealth;11;en;26
#finance;11;en;26
#nepal;11;en;26
#resilience;11;en;26
