mention;frequency;lang;cop
@cop26;2418;en;26
@borisjohnson;325;en;26
@narendramodi;315;en;26
@nicolasturgeon;267;en;26
@unfccc;227;en;26
@gretathunberg;218;en;26
@potus;182;en;26
@un;178;en;26
@aloksharma_rdg;164;en;26
@antonioguterres;141;en;26
@cop26_coalition;125;en;26
@vanessa_vash;109;en;26
@unep;99;en;26
@scottmorrisonmp;97;en;26
@blackpink;88;en;26
@scotgov;80;en;26
@justintrudeau;71;en;26
@joebiden;67;en;26
@undp;64;en;26
@climateenvoy;58;en;26
@bbcnews;57;en;26
@who;56;en;26
@scotgovfm;55;en;26
@barackobama;54;en;26
@pmoindia;50;en;26
@mohamednasheed;50;en;26
@skynews;48;en;26
@earthshotprize;47;en;26
@johnkerry;46;en;26
@s_guilbeault;46;en;26
@fridays4future;46;en;26
@lizwathuti;44;en;26
@ibusolih;44;en;26
@fao;43;en;26
@pespinosac;42;en;26
@michaelemann;41;en;26
@edmnangagwa;41;en;26
@guardian;40;en;26
@ipcc_ch;39;en;26
@hlcchampions;38;en;26
@miaamormottley;38;en;26
@thesnp;38;en;26
@refugees;37;en;26
@georgemonbiot;36;en;26
@ienearth;36;en;26
@canintl;35;en;26
@chrisgpackham;35;en;26
@unbiodiversity;35;en;26
@climatemorgan;33;en;26
@timmermanseu;33;en;26
@bbcworld;33;en;26
@unicef;33;en;26
@iea;33;en;26
@abc;33;en;26
@chilledasad100;32;en;26
@wgc_climate;32;en;26
@extinctionr;32;en;26
@c40cities;32;en;26
@jeremycorbyn;32;en;26
@nytimes;32;en;26
@youtube;32;en;26
@thegef;31;en;26
@rishisunak;30;en;26
@wwf;29;en;26
@richiemerzian;29;en;26
@indigenous_ca;29;en;26
@g20org;29;en;26
@mitzijonelle;28;en;26
@carolinelucas;28;en;26
@vonderleyen;28;en;26
@worldbank;28;en;26
@greenpeace;27;en;26
@eu_commission;27;en;26
@fcdoeducation;26;en;26
@yasminesherif1;26;en;26
@afdb_group;26;en;26
@aoc;26;en;26
@ap;25;en;26
@glasgowcc;25;en;26
@wmo;25;en;26
@kensingtonroyal;25;en;26
@saleemulhuq;24;en;26
@thegcf;24;en;26
@fijipm;24;en;26
@khayhoe;23;en;26
@theausinstitute;23;en;26
@mralexalba;23;en;26
@helengrantmp;23;en;26
@wef;23;en;26
@thomsonfiji;23;en;26
@emmanuelmacron;23;en;26
@andersen_inger;23;en;26
@shell;22;en;26
@thegreenparty;22;en;26
@wedonthavetime;22;en;26
@authackeray;22;en;26
@billgates;22;en;26
@ed_miliband;21;en;26
@xrebellionuk;21;en;26
@ginamccarthy46;21;en;26
@mailonline;21;en;26
@thecvf;21;en;26
@leodicaprio;21;en;26
@connectaid_int;21;en;26
@global_witness;21;en;26
@aosischair;20;en;26
@ft;20;en;26
@gbnews;20;en;26
@fcdogovuk;20;en;26
@anassarwar;19;en;26
@scotlandxr;19;en;26
@alexandriav2005;19;en;26
@frankiethedino;19;en;26
@topnigel;19;en;26
@beyondoilgas;19;en;26
@uklabour;19;en;26
@uofglasgow;19;en;26
@speakerpelosi;19;en;26
@brianna_fruean;19;en;26
@clarencehouse;19;en;26
@byadavbjp;18;en;26
@angustaylormp;18;en;26
@climateactiontr;18;en;26
@talkradio;18;en;26
@seforallorg;18;en;26
@mayoroflondon;18;en;26
@bbcscotlandnews;18;en;26
@bjcruickshank;18;en;26
@anuahsa;17;en;26
@defragovuk;17;en;26
@jrockstrom;17;en;26
@humzayousaf;17;en;26
@gchalliance;17;en;26
@rosamund_elsfdn;17;en;26
@zacgoldsmith;17;en;26
@alianzaglobalc;17;en;26
@unccd;17;en;26
@emithepoet;17;en;26
@iycm;17;en;26
@midianinja;17;en;26
@mikebloomberg;17;en;26
@kelharrar;17;en;26
@yccnetwork;16;en;26
@filippograndi;16;en;26
@twitterspaces;16;en;26
@worldresources;16;en;26
@scottishgreens;16;en;26
@natures_voice;16;en;26
@stvnews;16;en;26
@ipbes;16;en;26
@markjcarney;16;en;26
@kaohua3;16;en;26
@vinisha27738476;16;en;26
@iaeaorg;16;en;26
@naftalibennett;16;en;26
@cop26_tv;15;en;26
@ifrc;15;en;26
@bbc;15;en;26
@aminattock;15;en;26
@nickibeckerok;15;en;26
@whitehouse;15;en;26
@eliudkipchoge;15;en;26
@esa;15;en;26
@scotparl;15;en;26
@popscotland;15;en;26
@iromg;15;en;26
@channel4news;15;en;26
@susaninlangside;15;en;26
@itv;15;en;26
@ldcchairunfccc;14;en;26
@bylinetimes;14;en;26
@trussliz;14;en;26
@wildlifetrusts;14;en;26
@independent;14;en;26
@mairimcallan;14;en;26
@mingaindigena;14;en;26
@juliahb1;14;en;26
@cnn;14;en;26
@fffmapa;14;en;26
@idriselba;14;en;26
@asteiner;14;en;26
@un_women;14;en;26
@ggow_cop;14;en;26
@mzjacobson;14;en;26
@irena;14;en;26
@scouts;14;en;26
@rafaelmgrossi;14;en;26
@jess_shankleman;13;en;26
@patrickharvie;13;en;26
@alextomo;13;en;26
@kevinclimate;13;en;26
@billmckibben;13;en;26
@thetimes;13;en;26
@unesco;13;en;26
@unhabitat;13;en;26
@dsengeh;13;en;26
@akin_adesina;13;en;26
@natalieben;13;en;26
@sascampaigns;13;en;26
@govuk;13;en;26
@laurencetubiana;13;en;26
@policescotland;13;en;26
@rozfoyer;13;en;26
@foescot;13;en;26
@metoffice;13;en;26
@turnbullmalcolm;13;en;26
@nuclear4climate;13;en;26
@algore;13;en;26
@energy;13;en;26
@usaid;13;en;26
@secgranholm;13;en;26
@presidencymv;13;en;26
@jeffbezos;13;en;26
@suluhusamia;13;en;26
@stopcambo;12;en;26
@drsimevans;12;en;26
@copenhenken;12;en;26
@aminajmohammed;12;en;26
@greenpeaceuk;12;en;26
@usaidenviro;12;en;26
@wgarnews;12;en;26
@theelders;12;en;26
@sylviaearle;12;en;26
@mathesonmichael;12;en;26
@vp;12;en;26
@eucouncil;12;en;26
@elisebuckle;12;en;26
@mujajeanne;12;en;26
@ukri_news;12;en;26
@isolaralliance;12;en;26
@cgiar;12;en;26
@naturalengland;12;en;26
@ciwf;12;en;26
@unilever;12;en;26
@feargal_sharkey;12;en;26
@abcnews;12;en;26
@environment_ke;12;en;26
@lewispugh;12;en;26
@beargrylls;12;en;26
@itvnews;12;en;26
@cafod;11;en;26
@tearfund;11;en;26
@kuminaidoo;11;en;26
@oxfam;11;en;26
@palmoildetect;11;en;26
@gmunozabogabir;11;en;26
@eucyclistsfed;11;en;26
@voicesofyouth;11;en;26
@democracynow;11;en;26
@nnimmob;11;en;26
@thescotsman;11;en;26
@foeint;11;en;26
@gotabayar;11;en;26
@walkwithamal;11;en;26
@akshatrathi;11;en;26
@libdems;11;en;26
@indimiro;11;en;26
@rmtunion;11;en;26
@scottories;11;en;26
@yagclimate;11;en;26
@climategroup;11;en;26
@adamrogers2030;11;en;26
@climatesdg17;11;en;26
@conservatives;11;en;26
@bsca_aus;11;en;26
@jpmorgan;11;en;26
@secretarypete;11;en;26
@nafeezahmed;11;en;26
@ituc;11;en;26
@eib;11;en;26
@savebutterflies;11;en;26
@hhichilema;11;en;26
@auobnow;11;en;26
@cathmckenna;11;en;26
@secblinken;11;en;26
@meaindia;11;en;26
@archieyounguk;10;en;26
@ourkidsclimate;10;en;26
@cfigueres;10;en;26
@cnni;10;en;26
@mohadow;10;en;26
@reuters;10;en;26
@kathykijiner;10;en;26
@harjeet11;10;en;26
@krishgm;10;en;26
@gobikeglasgow;10;en;26
@ajenglish;10;en;26
@safbf;10;en;26
@unhumanrights;10;en;26
@craigbennett3;10;en;26
@nigel_farage;10;en;26
@shi4tech;10;en;26
@bbcr4today;10;en;26
@tasneemessop;10;en;26
@christian_aid;10;en;26
@ni_ygn;10;en;26
@priceofoil;10;en;26
@iclei;10;en;26
@apiboficial;10;en;26
@nature4climate;10;en;26
@forumsec;10;en;26
@bbclaurak;10;en;26
@tvkev;10;en;26
@teresaribera;10;en;26
@sccscot;10;en;26
@canadianpm;10;en;26
@sherbdeuba;10;en;26
@energyalliance;10;en;26
@jonathanwnv;10;en;26
@educannotwait;10;en;26
@lazaruschakwera;10;en;26
@valmasdel;10;en;26
@camanpour;10;en;26
@g20australia;10;en;26
@parents4futureg;9;en;26
@manupulgarvidal;9;en;26
@stellamccartney;9;en;26
@waronwant;9;en;26
@fossiltreaty;9;en;26
@wearecyclinguk;9;en;26
@bjornlomborg;9;en;26
@gcdcj;9;en;26
@sdg13un;9;en;26
@simonahac;9;en;26
@codepink;9;en;26
@wwf_uk;9;en;26
@abbymartin;9;en;26
@bp_plc;9;en;26
@carla_denyer;9;en;26
@pippaheylings;9;en;26
@cape_acme;9;en;26
@fff_scotland;9;en;26
@rockefellerfdn;9;en;26
@uniofhull;9;en;26
@erieltd;9;en;26
@meganjherbert;9;en;26
@scotgovnetzero;9;en;26
@ndncollective;9;en;26
@conversationuk;9;en;26
@greenernhs;9;en;26
@lgprscotland;9;en;26
@broadcastscot;9;en;26
@unibirmingham;9;en;26
@hsbc;9;en;26
@nasa;9;en;26
@moefcc;9;en;26
@bloombergdotorg;9;en;26
@petebuttigieg;9;en;26
@andyburnhamgm;9;en;26
@unitetheunion;9;en;26
@statehousekenya;9;en;26
@nakufoaddo;9;en;26
@hrw;9;en;26
@cbm_global;9;en;26
@bumblebeetrust;9;en;26
@jododds6;9;en;26
@hindououmar;9;en;26
@truenorthcentre;9;en;26
@mbuhari;9;en;26
@bezosearthfund;9;en;26
@gmbscotorg;9;en;26
@fbirol;9;en;26
@grahamlang17;9;en;26
@mesipisu;9;en;26
@janegoodallinst;9;en;26
@bjp4india;9;en;26
@mcsuk;9;en;26
@whalesorg;9;en;26
@coy16glasgow;9;en;26
@gmbglasgowcc;9;en;26
@michealmartintd;9;en;26
@nature_org;8;en;26
@business;8;en;26
@lossdamage;8;en;26
@bbcbreaking;8;en;26
@disharavii;8;en;26
@e3g;8;en;26
@yanisvaroufakis;8;en;26
@unicefrosa;8;en;26
@rcclimate;8;en;26
@scotrail;8;en;26
@sorengarchana;8;en;26
@scotnational;8;en;26
@christinemilne;8;en;26
@mvollmer1;8;en;26
@sheclimate;8;en;26
@drmarianeira;8;en;26
@carbonbrief;8;en;26
@ecowarriorss;8;en;26
@danjoergensen;8;en;26
@deborahmeaden;8;en;26
@akwyz;8;en;26
@bbcbreakfast;8;en;26
@ourworldindata;8;en;26
@pastcoal;8;en;26
@lbc;8;en;26
@corbyn_project;8;en;26
@ivanduque;8;en;26
@envagency;8;en;26
@georgegalloway;8;en;26
@ittakesroots;8;en;26
