term;frequency;lang;cop
#cop26;21002;en;26
climate;9447;en;26
glasgow;4066;en;26
change;3883;en;26
leader;3300;en;26
today;2428;en;26
@cop26;2418;en;26
country;2238;en;26
global;1963;en;26
day;1865;en;26
action;1849;en;26
summit;1728;en;26
join;1527;en;26
emission;1523;en;26
fuel;1448;en;26
fossil;1379;en;26
planet;1330;en;26
call;1266;en;26
minister;1208;en;26
uk;1193;en;26
conference;1164;en;26
#climateaction;1159;en;26
climateaction;1159;en;26
government;1148;en;26
year;1144;en;26
event;1127;en;26
future;1099;en;26
pm;1086;en;26
work;1081;en;26
scotland;1081;en;26
energy;1019;en;26
live;1015;en;26
support;1010;en;26
president;997;en;26
green;991;en;26
climate crisis;989;en;26
carbon;988;en;26
meet;987;en;26
climatechange;944;en;26
#climatechange;941;en;26
activist;930;en;26
big;928;en;26
coal;917;en;26
help;908;en;26
copglasgow;893;en;26
#cop26glasgow;892;en;26
end;888;en;26
read;867;en;26
week;858;en;26
solution;842;en;26
pledge;829;en;26
#climatecrisis;814;en;26
speak;814;en;26
climatecrisis;813;en;26
watch;803;en;26
show;784;en;26
protect;777;en;26
#togetherforourplanet;758;en;26
finance;757;en;26
togetherforourplanet;756;en;26
part;748;en;26
nature;746;en;26
community;736;en;26
climate action;734;en;26
young;733;en;26
good;733;en;26
gas;727;en;26
together;719;en;26
keep;719;en;26
fight;711;en;26
around;706;en;26
nation;700;en;26
impact;694;en;26
lead;684;en;26
indigenous;676;en;26
after;672;en;26
plan;669;en;26
un;668;en;26
stop;668;en;26
commitment;667;en;26
justice;663;en;26
address;654;en;26
demand;643;en;26
power;634;en;26
forest;625;en;26
tackle;622;en;26
oil;619;en;26
india;617;en;26
start;610;en;26
include;610;en;26
hear;605;en;26
save;604;en;26
deliver;599;en;26
discuss;590;en;26
message;582;en;26
voice;582;en;26
report;577;en;26
youth;575;en;26
#climate;567;en;26
act;565;en;26
give;563;en;26
reduce;562;en;26
find;560;en;26
share;558;en;26
life;552;en;26
agreement;543;en;26
environment;541;en;26
private;530;en;26
real;525;en;26
ocean;525;en;26
city;523;en;26
net zero;521;en;26
health;518;en;26
deal;513;en;26
thank;513;en;26
against;512;en;26
important;511;en;26
woman;510;en;26
news;508;en;26
promise;505;en;26
issue;502;en;26
every;500;en;26
land;500;en;26
target;499;en;26
put;498;en;26
hope;493;en;26
delegate;489;en;26
next;486;en;26
down;485;en;26
key;485;en;26
china;484;en;26
sustainable;484;en;26
#climateemergency;479;en;26
climateemergency;479;en;26
develop;478;en;26
prime;476;en;26
across;475;en;26
child;474;en;26
speech;473;en;26
deforestation;473;en;26
off;472;en;26
think;470;en;26
continue;469;en;26
million;466;en;26
goal;466;en;26
policy;463;en;26
state;458;en;26
netzero;457;en;26
happen;453;en;26
crisis;452;en;26
march;449;en;26
public;448;en;26
adaptation;447;en;26
late;445;en;26
face;444;en;26
international;443;en;26
protest;442;en;26
sign;442;en;26
far;441;en;26
build;440;en;26
tomorrow;438;en;26
full;436;en;26
water;436;en;26
commit;436;en;26
attend;435;en;26
follow;432;en;26
#glasgow;430;en;26
enough;428;en;26
transition;427;en;26
boris johnson;423;en;26
australia;422;en;26
clean;422;en;26
ask;422;en;26
thing;419;en;26
listen;417;en;26
environmental;415;en;26
billion;414;en;26
launch;414;en;26
bring;414;en;26
cut;410;en;26
earth;409;en;26
welcome;409;en;26
host;408;en;26
set;408;en;26
learn;408;en;26
announce;407;en;26
#climatejustice;404;en;26
climatejustice;403;en;26
role;401;en;26
rise;400;en;26
project;399;en;26
food;399;en;26
word;398;en;26
without;396;en;26
ambition;392;en;26
human;392;en;26
industry;391;en;26
already;389;en;26
fail;389;en;26
biden;388;en;26
transport;388;en;26
emergency;387;en;26
jet;387;en;26
before;386;en;26
system;386;en;26
break;386;en;26
achieve;385;en;26
home;380;en;26
please;379;en;26
increase;376;en;26
leave;374;en;26
negotiation;373;en;26
