verb;frequency;lang;cop
join;1496;en;26
call;1007;en;26
meet;971;en;26
help;835;en;26
read;831;en;26
speak;811;en;26
protect;769;en;26
keep;717;en;26
watch;702;en;26
work;686;en;26
show;672;en;26
stop;626;en;26
lead;620;en;26
tackle;619;en;26
support;615;en;26
include;608;en;26
save;602;en;26
hear;601;en;26
deliver;598;en;26
discuss;590;en;26
address;565;en;26
give;560;en;26
find;559;en;26
reduce;558;en;26
live;554;en;26
end;534;en;26
put;498;en;26
act;498;en;26
start;479;en;26
develop;478;en;26
share;477;en;26
continue;469;en;26
think;462;en;26
demand;458;en;26
happen;452;en;26
commit;435;en;26
attend;434;en;26
build;418;en;26
fight;416;en;26
bring;414;en;26
listen;411;en;26
follow;409;en;26
ask;408;en;26
announce;407;en;26
learn;407;en;26
change;401;en;26
achieve;385;en;26
fail;385;en;26
set;381;en;26
leave;368;en;26
create;355;en;26
sign;353;en;26
break;351;en;26
face;347;en;26
cut;325;en;26
hold;324;en;26
try;324;en;26
agree;314;en;26
ensure;313;en;26
mean;311;en;26
increase;307;en;26
reach;304;en;26
stand;301;en;26
arrive;298;en;26
thank;296;en;26
launch;295;en;26
play;287;en;26
rise;287;en;26
provide;285;en;26
fly;280;en;26
welcome;276;en;26
become;274;en;26
host;271;en;26
feel;268;en;26
turn;266;en;26
affect;266;en;26
urge;266;en;26
represent;256;en;26
raise;253;en;26
highlight;253;en;26
explain;244;en;26
move;244;en;26
pay;243;en;26
begin;241;en;26
phase;240;en;26
hope;238;en;26
drive;229;en;26
pledge;223;en;26
push;220;en;26
accelerate;219;en;26
run;217;en;26
send;217;en;26
limit;216;en;26
gather;214;en;26
cause;213;en;26
open;202;en;26
spend;199;en;26
destroy;193;en;26
lose;185;en;26
produce;184;en;26
burn;183;en;26
expect;182;en;26
march;182;en;26
report;178;en;26
stay;177;en;26
fall;176;en;26
register;174;en;26
allow;173;en;26
require;172;en;26
believe;172;en;26
write;170;en;26
walk;169;en;26
check;167;en;26
remember;165;en;26
promise;164;en;26
refuse;159;en;26
grow;159;en;26
present;159;en;26
step;158;en;26
miss;158;en;26
avoid;157;en;26
plan;153;en;26
remain;153;en;26
wait;152;en;26
cover;152;en;26
impact;149;en;26
visit;147;en;26
kick;147;en;26
invest;146;en;26
head;145;en;26
contribute;142;en;26
warn;142;en;26
kill;141;en;26
seem;141;en;26
travel;141;en;26
release;141;en;26
base;140;en;26
focus;139;en;26
restore;139;en;26
force;133;en;26
die;133;en;26
add;132;en;26
choose;131;en;26
understand;130;en;26
love;130;en;26
hit;129;en;26
adapt;128;en;26
inspire;127;en;26
aim;126;en;26
reveal;126;en;26
ignore;124;en;26
win;123;en;26
care;123;en;26
protest;122;en;26
explore;121;en;26
promote;121;en;26
combat;119;en;26
warm;119;en;26
offer;119;en;26
remind;117;en;26
threaten;116;en;26
fund;116;en;26
improve;115;en;26
lie;113;en;26
catch;112;en;26
implement;112;en;26
mark;111;en;26
publish;108;en;26
close;108;en;26
receive;107;en;26
sit;106;en;26
halt;105;en;26
suffer;103;en;26
recognise;101;en;26
encourage;101;en;26
decide;100;en;26
accord;100;en;26
deal;100;en;26
reverse;100;en;26
consider;99;en;26
strengthen;99;en;26
invite;99;en;26
solve;97;en;26
matter;97;en;26
plant;97;en;26
claim;96;en;26
feature;96;en;26
manage;95;en;26
respond;95;en;26
eat;95;en;26
participate;94;en;26
pollute;94;en;26
appear;93;en;26
involve;93;en;26
draw;92;en;26
wear;92;en;26
mitigate;90;en;26
prevent;88;en;26
depend;86;en;26
enjoy;86;en;26
finance;84;en;26
showcase;84;en;26
link;84;en;26
reflect;83;en;26
return;82;en;26
emit;82;en;26
account;82;en;26
update;81;en;26
waste;80;en;26
block;79;en;26
pass;79;en;26
prepare;78;en;26
enter;78;en;26
bear;78;en;26
imagine;78;en;26
buy;77;en;26
demonstrate;77;en;26
wonder;76;en;26
shift;75;en;26
stopN;75;en;26
strike;75;en;26
scale;75;en;26
advance;75;en;26
drop;75;en;26
secure;74;en;26
exclude;74;en;26
avert;74;en;26
treat;74;en;26
pull;74;en;26
fix;73;en;26
engage;73;en;26
serve;73;en;26
missN;73;en;26
celebrate;72;en;26
greenwashe;72;en;26
expose;72;en;26
transform;72;en;26
remove;71;en;26
propose;71;en;26
vote;70;en;26
seek;69;en;26
exist;69;en;26
boost;69;en;26
negotiate;69;en;26
adopt;68;en;26
organise;68;en;26
declare;67;en;26
enable;67;en;26
offset;67;en;26
prove;66;en;26
accuse;65;en;26
suggest;64;en;26
undermine;64;en;26
carry;64;en;26
mention;63;en;26
accept;63;en;26
power;62;en;26
experience;62;en;26
preserve;61;en;26
express;61;en;26
design;61;en;26
deny;60;en;26
honour;59;en;26
recognize;59;en;26
deserve;59;en;26
acknowledge;59;en;26
sell;58;en;26
connect;58;en;26
wish;58;en;26
outline;58;en;26
state;57;en;26
confirm;57;en;26
relate;57;en;26
introduce;57;en;26
issue;57;en;26
emerge;56;en;26
giveN;56;en;26
delay;56;en;26
water;55;en;26
argue;55;en;26
combine;55;en;26
witness;55;en;26
ban;55;en;26
tune;55;en;26
fuel;54;en;26
replace;54;en;26
compare;54;en;26
forgetN;54;en;26
pretend;54;en;26
curb;53;en;26
target;53;en;26
generate;53;en;26
cancel;53;en;26
benefit;52;en;26
attendN;52;en;26
defend;51;en;26
sound;51;en;26
nationinwaite;51;en;26
amplify;51;en;26
pray;51;en;26
enhance;50;en;26
blame;50;en;26
describe;50;en;26
forget;49;en;26
align;49;en;26
wake;49;en;26
clean;49;en;26
name;49;en;26
laugh;49;en;26
empower;49;en;26
double;49;en;26
challenge;49;en;26
dig;49;en;26
lecture;49;en;26
land;48;en;26
survive;48;en;26
integrate;48;en;26
melt;48;en;26
climate;48;en;26
count;47;en;26
conclude;47;en;26
determine;47;en;26
answer;47;en;26
advocate;47;en;26
expand;47;en;26
decarbonize;46;en;26
displace;46;en;26
record;46;en;26
sponsor;46;en;26
safeguard;46;en;26
pose;45;en;26
hide;44;en;26
lay;44;en;26
establish;44;en;26
shut;44;en;26
solveN;44;en;26
mobilise;44;en;26
thinkN;44;en;26
waitN;44;en;26
post;43;en;26
realise;43;en;26
cost;43;en;26
roll;43;en;26
criticise;43;en;26
struggle;43;en;26
unite;43;en;26
estimate;43;en;26
believeN;42;en;26
decarbonise;42;en;26
shape;41;en;26
slam;41;en;26
succeed;41;en;26
feed;41;en;26
affordN;41;en;26
capture;41;en;26
rely;41;en;26
meetN;40;en;26
reject;40;en;26
disappear;40;en;26
mentionN;40;en;26
conserve;40;en;26
pump;40;en;26
note;39;en;26
place;39;en;26
hand;39;en;26
retweet;39;en;26
view;39;en;26
project;39;en;26
dump;39;en;26
rally;39;en;26
cycle;39;en;26
result;39;en;26
wrap;38;en;26
disrupt;38;en;26
lock;38;en;26
flood;38;en;26
control;38;en;26
donate;38;en;26
inviteN;38;en;26
stick;38;en;26
interview;38;en;26
track;38;en;26
chair;37;en;26
maintain;37;en;26
prioritize;37;en;26
careN;37;en;26
prioritise;37;en;26
pick;37;en;26
spread;37;en;26
trust;37;en;26
tweet;37;en;26
spot;37;en;26
pm;37;en;26
harm;36;en;26
apologise;36;en;26
admit;36;en;26
contain;36;en;26
resist;36;en;26
fill;36;en;26
confront;36;en;26
plantbase;36;en;26
blow;35;en;26
guess;35;en;26
finish;35;en;26
seize;35;en;26
access;35;en;26
discover;35;en;26
embrace;34;en;26
happenN;34;en;26
sleep;34;en;26
keepN;34;en;26
inform;34;en;26
arrest;34;en;26
oppose;33;en;26
regard;33;en;26
steal;33;en;26
switch;33;en;26
stage;33;en;26
store;33;en;26
breathe;33;en;26
honor;33;en;26
collect;33;en;26
organize;33;en;26
stress;33;en;26
unveil;33;en;26
elect;32;en;26
point;32;en;26
throw;32;en;26
worry;32;en;26
suppose;32;en;26
measure;32;en;26
leaveN;32;en;26
allowN;32;en;26
transition;32;en;26
form;32;en;26
naturebase;32;en;26
slash;32;en;26
wearN;32;en;26
heat;31;en;26
sink;31;en;26
embarrass;31;en;26
speed;31;en;26
halve;31;en;26
exceed;31;en;26
partner;31;en;26
click;31;en;26
cap;31;en;26
dress;31;en;26
apply;31;en;26
thrive;31;en;26
teach;31;en;26
recycle;31;en;26
dedicate;31;en;26
blink;31;en;26
endorse;31;en;26
appreciate;30;en;26
slow;30;en;26
helpN;30;en;26
