word;frequency;lang;cop
climate;9399;en;26
glasgow;4061;en;26
change;3482;en;26
leader;3300;en;26
today;2426;en;26
country;2238;en;26
global;1963;en;26
day;1865;en;26
action;1846;en;26
summit;1723;en;26
emission;1518;en;26
fuel;1394;en;26
fossil;1379;en;26
planet;1327;en;26
minister;1204;en;26
uk;1193;en;26
conference;1160;en;26
climateaction;1159;en;26
government;1147;en;26
year;1144;en;26
event;1123;en;26
future;1099;en;26
scotland;1078;en;26
pm;1049;en;26
energy;1019;en;26
president;995;en;26
carbon;987;en;26
green;980;en;26
climatechange;941;en;26
activist;930;en;26
big;925;en;26
coal;917;en;26
copglasgow;872;en;26
week;857;en;26
solution;841;en;26
climatecrisis;811;en;26
togetherforourplanet;756;en;26
part;746;en;26
nature;745;en;26
community;736;en;26
young;733;en;26
good;733;en;26
gas;726;en;26
together;719;en;26
around;706;en;26
nation;700;en;26
finance;673;en;26
indigenous;673;en;26
after;672;en;26
un;668;en;26
commitment;666;en;26
justice;662;en;26
oil;618;en;26
india;617;en;26
forest;612;en;26
pledge;606;en;26
message;580;en;26
youth;575;en;26
voice;574;en;26
power;572;en;26
life;552;en;26
impact;545;en;26
agreement;543;en;26
environment;541;en;26
private;530;en;26
real;525;en;26
city;523;en;26
ocean;523;en;26
health;517;en;26
plan;516;en;26
against;512;en;26
important;511;en;26
woman;510;en;26
news;504;en;26
every;500;en;26
next;486;en;26
delegate;486;en;26
key;485;en;26
china;484;en;26
sustainable;483;en;26
down;482;en;26
climateemergency;479;en;26
across;475;en;26
prime;474;en;26
child;474;en;26
speech;473;en;26
deforestation;473;en;26
off;472;en;26
million;466;en;26
policy;463;en;26
goal;462;en;26
live;461;en;26
netzero;457;en;26
crisis;452;en;26
land;452;en;26
public;448;en;26
adaptation;447;en;26
target;446;en;26
late;445;en;26
issue;445;en;26
international;443;en;26
far;441;en;26
tomorrow;437;en;26
full;436;en;26
enough;428;en;26
australia;422;en;26
thing;419;en;26
environmental;415;en;26
billion;414;en;26
deal;413;en;26
earth;409;en;26
climatejustice;403;en;26
role;401;en;26
state;401;en;26
report;399;en;26
food;398;en;26
without;396;en;26
word;396;en;26
work;395;en;26
support;395;en;26
transition;395;en;26
ambition;392;en;26
human;391;en;26
industry;389;en;26
already;389;en;26
emergency;387;en;26
before;386;en;26
system;386;en;26
water;381;en;26
home;380;en;26
biden;380;en;26
clean;373;en;26
transport;373;en;26
negotiation;372;en;26
decision;369;en;26
loss;369;en;26
please;368;en;26
bad;367;en;26
yet;365;en;26
jet;361;en;26
project;360;en;26
company;357;en;26
end;354;en;26
leadership;352;en;26
level;345;en;26
paris;343;en;26
promise;341;en;26
biodiversity;340;en;26
rich;339;en;26
statement;336;en;26
everyone;334;en;26
science;334;en;26
powerful;333;en;26
auspol;332;en;26
vulnerable;330;en;26
video;329;en;26
clear;327;en;26
text;324;en;26
economy;324;en;26
large;322;en;26
car;322;en;26
tree;322;en;26
group;320;en;26
protest;320;en;26
discussion;319;en;26
meeting;318;en;26
ahead;317;en;26
local;316;en;26
place;310;en;26
urgent;310;en;26
moment;309;en;26
opportunity;308;en;26
national;306;en;26
november;305;en;26
nov;305;en;26
progress;302;en;26
long;302;en;26
challenge;301;en;26
street;298;en;26
effort;298;en;26
fight;295;en;26
delegation;295;en;26
decade;293;en;26
degree;289;en;26
investment;288;en;26
political;287;en;26
air;287;en;26
towards;285;en;26
member;283;en;26
lot;283;en;26
morning;282;en;26
nothing;280;en;26
damage;279;en;26
blah;278;en;26
methane;277;en;26
medium;277;en;26
business;277;en;26
th;276;en;26
failure;275;en;26
morrison;275;en;26
proud;274;en;26
scottish;274;en;26
draft;272;en;26
final;271;en;26
sturgeon;271;en;26
major;269;en;26
story;268;en;26
island;268;en;26
critical;268;en;26
co;267;en;26
covid;267;en;26
strong;267;en;26
generation;267;en;26
march;267;en;26
sector;266;en;26
same;265;en;26
since;265;en;26
development;264;en;26
south;264;en;26
update;259;en;26
call;259;en;26
africa;258;en;26
forward;257;en;26
hope;255;en;26
party;255;en;26
outside;254;en;26
thousand;254;en;26
david;252;en;26
huge;249;en;26
ambitious;248;en;26
eu;244;en;26
team;243;en;26
below;242;en;26
risk;238;en;26
point;237;en;26
least;237;en;26
humanity;237;en;26
gender;235;en;26
away;233;en;26
yesterday;233;en;26
line;232;en;26
small;232;en;26
greenhouse;231;en;26
panel;231;en;26
conversation;230;en;26
movement;228;en;26
side;228;en;26
opening;227;en;26
initiative;226;en;26
gmt;225;en;26
never;225;en;26
poor;225;en;26
job;225;en;26
scientist;224;en;26
problem;224;en;26
sea;224;en;26
nuclear;224;en;26
threat;223;en;26
pollution;222;en;26
pavilion;219;en;26
chance;218;en;26
outcome;217;en;26
thank;217;en;26
zone;215;en;26
johnson;214;en;26
number;214;en;26
partner;214;en;26
temperature;214;en;26
money;214;en;26
economic;212;en;26
question;212;en;26
less;212;en;26
article;211;en;26
pacific;211;en;26
reality;211;en;26
free;208;en;26
subsidy;207;en;26
nicola;207;en;26
agenda;207;en;26
canada;207;en;26
photo;206;en;26
step;205;en;26
hard;204;en;26
front;204;en;26
technology;204;en;26
modi;203;en;26
resource;202;en;26
scottishindependence;199;en;26
announcement;199;en;26
thread;198;en;26
innovation;197;en;26
history;196;en;26
fact;196;en;26
press;195;en;26
society;195;en;26
little;194;en;26
disaster;193;en;26
alive;192;en;26
space;191;en;26
crucial;190;en;26
top;189;en;26
train;189;en;26
amazing;189;en;26
declaration;186;en;26
natural;186;en;26
heart;186;en;26
stage;186;en;26
behind;185;en;26
demand;185;en;26
former;184;en;26
online;184;en;26
solidarity;184;en;26
reduction;183;en;26
area;183;en;26
hour;182;en;26
polluter;182;en;26
despite;182;en;26
success;181;en;26
friend;181;en;26
access;181;en;26
importance;180;en;26
politician;180;en;26
instead;179;en;26
sustainability;179;en;26
man;179;en;26
past;179;en;26
blue;179;en;26
sir;178;en;26
govt;178;en;26
early;177;en;26
vital;177;en;26
fast;176;en;26
beyond;176;en;26
frontline;176;en;26
obama;176;en;26
production;175;en;26
electric;174;en;26
secretary;174;en;26
due;173;en;26
daily;173;en;26
close;171;en;26
agriculture;171;en;26
copbbc;171;en;26
education;171;en;26
attenborough;171;en;26
prince;171;en;26
hypocrisy;170;en;26
per;168;en;26
resilience;168;en;26
fund;167;en;26
animal;167;en;26
expert;167;en;26
financial;166;en;26
solar;165;en;26
actually;163;en;26
official;163;en;26
girl;163;en;26
lossanddamage;162;en;26
social;161;en;26
research;161;en;26
special;161;en;26
cost;160;en;26
minute;160;en;26
ecosystem;160;en;26
campaign;160;en;26
worker;160;en;26
weather;159;en;26
tonight;159;en;26
market;158;en;26
head;158;en;26
session;158;en;26
school;157;en;26
death;156;en;26
australian;156;en;26
room;156;en;26
single;156;en;26
trade;156;en;26
coverage;156;en;26
until;155;en;26
mask;155;en;26
renewable;155;en;26
datum;155;en;26
zero;154;en;26
sure;154;en;26
possible;153;en;26
road;153;en;26
link;153;en;26
director;152;en;26
partnership;152;en;26
near;151;en;26
serious;151;en;26
yesscot;151;en;26
farmer;151;en;26
effect;150;en;26
massive;150;en;26
wind;150;en;26
british;147;en;26
extreme;147;en;26
infrastructure;146;en;26
centre;146;en;26
military;146;en;26
tory;145;en;26
price;144;en;26
ground;144;en;26
footprint;144;en;26
coalition;144;en;26
response;143;en;26
empty;143;en;26
source;143;en;26
track;142;en;26
whole;142;en;26
within;141;en;26
fair;141;en;26
police;141;en;26
lack;140;en;26
healthy;140;en;26
family;140;en;26
alliance;139;en;26
hand;139;en;26
priority;139;en;26
current;139;en;26
positive;138;en;26
reminder;137;en;26
almost;137;en;26
meat;137;en;26
essential;137;en;26
host;137;en;26
bank;137;en;26
nearly;136;en;26
ready;136;en;26
bn;136;en;26
st;136;en;26
negotiator;135;en;26
among;135;en;26
eye;135;en;26
resilient;135;en;26
safe;134;en;26
different;134;en;26
war;134;en;26
urgency;133;en;26
bold;133;en;26
person;133;en;26
welcome;133;en;26
always;132;en;26
civil;132;en;26
night;132;en;26
month;131;en;26
start;131;en;26
united;131;en;26
saturday;130;en;26
speaker;130;en;26
three;130;en;26
venue;130;en;26
truth;129;en;26
scott;129;en;26
financing;129;en;26
bbc;128;en;26
especially;128;en;26
council;128;en;26
wales;128;en;26
example;128;en;26
fossilfuel;128;en;26
funding;128;en;26
strike;127;en;26
presidency;127;en;26
idea;127;en;26
strategy;127;en;26
